url_a,domain_a,url_b,domain_b,similarity_score,similarity_method,similarity_band,risk,recommended_owner,recommended_action
"https://www.alefotografo.com.br/depoimentos","alefotografo.com.br","https://alefotografos.com.br/depoimentos","alefotografos.com.br","98% (cos=0.983 jac=0.921)","tfidf-cosine+shingle-jaccard","MUITO ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/contato","alefotografo.com.br","https://alefotografos.com.br/contato","alefotografos.com.br","91% (cos=0.911 jac=0.805)","tfidf-cosine+shingle-jaccard","MUITO ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/foto-profissional","alefotografo.com.br","https://alefotografos.com.br/foto-profissional","alefotografos.com.br","88% (cos=0.785 jac=0.876)","tfidf-cosine+shingle-jaccard","MUITO ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/fotografo-corporativo","alefotografo.com.br","https://alefotografos.com.br/fotografo-corporativo","alefotografos.com.br","84% (cos=0.843 jac=0.696)","tfidf-cosine+shingle-jaccard","MUITO ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/fotos-corporativas","alefotografo.com.br","https://alefotografos.com.br/fotos-corporativas","alefotografos.com.br","84% (cos=0.768 jac=0.84)","tfidf-cosine+shingle-jaccard","MUITO ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/foto-profissional-para-linkedin","alefotografo.com.br","https://alefotografos.com.br/foto-profissional-para-linkedin","alefotografos.com.br","83% (cos=0.751 jac=0.83)","tfidf-cosine+shingle-jaccard","MUITO ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/fotografia-para-clinicas","alefotografo.com.br","https://alefotografos.com.br/fotografia-para-clinicas","alefotografos.com.br","83% (cos=0.819 jac=0.828)","tfidf-cosine+shingle-jaccard","MUITO ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/quem-e-o-ale","alefotografo.com.br","https://alefotografos.com.br/quem-e-o-ale","alefotografos.com.br","83% (cos=0.662 jac=0.826)","tfidf-cosine+shingle-jaccard","MUITO ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/fotografia-executiva","alefotografo.com.br","https://alefotografos.com.br/fotografia-executiva","alefotografos.com.br","82% (cos=0.819 jac=0.752)","tfidf-cosine+shingle-jaccard","MUITO ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/fotos-profissionais-medicos","alefotografo.com.br","https://alefotografos.com.br/fotos-profissionais-medicos","alefotografos.com.br","81% (cos=0.81 jac=0.75)","tfidf-cosine+shingle-jaccard","MUITO ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/fotografia-para-advogados","alefotografo.com.br","https://alefotografos.com.br/fotografia-para-advogados","alefotografos.com.br","81% (cos=0.808 jac=0.761)","tfidf-cosine+shingle-jaccard","MUITO ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/fotografo-empresarial","alefotografo.com.br","https://alefotografos.com.br/fotografo-empresarial","alefotografos.com.br","81% (cos=0.805 jac=0.777)","tfidf-cosine+shingle-jaccard","MUITO ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/videos","alefotografo.com.br","https://alefotografos.com.br/videos","alefotografos.com.br","78% (cos=0.586 jac=0.784)","tfidf-cosine+shingle-jaccard","ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/fotografo-de-feira-de-negocios","alefotografo.com.br","https://alefotografos.com.br/fotografo-de-feira-de-negocios","alefotografos.com.br","77% (cos=0.772 jac=0.646)","tfidf-cosine+shingle-jaccard","ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/eventos-corporativos","alefotografo.com.br","https://alefotografos.com.br/eventos-corporativos","alefotografos.com.br","72% (cos=0.717 jac=0.613)","tfidf-cosine+shingle-jaccard","ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/faq","alefotografo.com.br","https://alefotografos.com.br/faq","alefotografos.com.br","72% (cos=0.491 jac=0.717)","tfidf-cosine+shingle-jaccard","ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/servicos","alefotografo.com.br","https://alefotografos.com.br/fotografo-corporativo","alefotografos.com.br","68% (cos=0.676 jac=0.617)","tfidf-cosine+shingle-jaccard","ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/fotografo-corporativo/fotografia-para-escritorios-de-advocacia","alefotografo.com.br","https://alefotografos.com.br/fotografo-corporativo/fotografia-para-escritorios-de-advocacia","alefotografos.com.br","64% (cos=0.639 jac=0.597)","tfidf-cosine+shingle-jaccard","ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/","alefotografo.com.br","https://alefotografos.com.br/faq","alefotografos.com.br","61% (cos=0.287 jac=0.613)","tfidf-cosine+shingle-jaccard","ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/fotos-corporativas","alefotografo.com.br","https://alefotografos.com.br/fotografo-corporativo","alefotografos.com.br","61% (cos=0.439 jac=0.612)","tfidf-cosine+shingle-jaccard","ALTA","HIGH","","MANUAL REVIEW"
"https://www.alefotografo.com.br/sobre","alefotografo.com.br","https://alefotografos.com.br/fotografo-corporativo","alefotografos.com.br","61% (cos=0.413 jac=0.608)","tfidf-cosine+shingle-jaccard","ALTA","HIGH","","MANUAL REVIEW"
